Endereços;CEP
Rua Silva Paulet de 766/767 a 1889/1890;60120021
Rua Tibúrcio Cavalcanti - de 821/822 a 2084/2085;60125045
Rua Tomás Rodrigues;60175080
Rua Torres Câmara;60150060
Rua Trinta e Um de Outubro;60170330
Rua Vicente Leite de 881/882 a 1989/1990;60170151
Rua Vicente Linhares até 1478/1479;60135270
Rua Visconde de Mauá de 791/792 a 2099/2100;60125058
Travessa Amora;60125030
Travessa Aristóteles;60135550
Travessa Beni de Carvalho;60135281
Travessa do Rosário;60135310
Travessa Monsenhor Catão;60175010
Travessa Verdes Mares;60135390
Travessa Vicente Leite;60170160
Vila Agostinho Soares;60120030
Vila Bibiano;60140020
Vila Caculé;60170360
Vila do Carmo;60170370
Vila Dona Rosa;60115140
Vila Doutor Antônio Góes;60115120
Vila Eduardo;60170390
Vila Fernanda;60110290
Vila Henrique Gabriel;60110330
Vila Julieta;60140030
Vila Manoel Cavalcante;60160300
Vila Pita;60150070
Vila Professor Fernandes;60170070
Vila Rita Helena;60110620
Vila São Paulo;60140070
Vila Tavares;60150130
Vila Veneza;60140040
Vila Ventura;
